Kennziffer;Raumeinheit;Aggregat;Ausgaben für Sachinvestitionen;Kinderarmut
"09476";"Kronach";"Landkreis";"541,1";"5,7"
"09477";"Kulmbach";"Landkreis";"477,1";"6,1"
"09478";"Lichtenfels";"Landkreis";"555,7";"6,4"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"480,0";"12,5"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"328,0";"15,6"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"227,5";"9,4"
"09563";"Fürth, Stadt";"krsfr. Stadt";"281,3";"15,7"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"222,6";"17,8"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"392,6";"9,6"
"09571";"Ansbach";"Landkreis";"772,0";"3,7"
"09572";"Erlangen-Höchstadt";"Landkreis";"641,9";"3,9"
"09573";"Fürth";"Landkreis";"391,4";"4,1"
"09574";"Nürnberger Land";"Landkreis";"520,6";"5,7"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"651,4";"6,7"
"09576";"Roth";"Landkreis";"635,2";"3,9"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"658,9";"6,0"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"280,0";"16,1"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"280,4";"22,1"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"340,7";"12,8"
"09671";"Aschaffenburg";"Landkreis";"538,5";"7,5"
"09672";"Bad Kissingen";"Landkreis";"476,0";"6,0"
"09673";"Rhön-Grabfeld";"Landkreis";"615,7";"4,4"
"09674";"Haßberge";"Landkreis";"563,0";"5,5"
"09675";"Kitzingen";"Landkreis";"655,6";"5,6"
"09676";"Miltenberg";"Landkreis";"570,1";"6,1"
"09677";"Main-Spessart";"Landkreis";"699,8";"5,2"
"09678";"Schweinfurt";"Landkreis";"474,7";"4,6"
"09679";"Würzburg";"Landkreis";"512,1";"4,5"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"289,1";"12,5"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"297,8";"9,7"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"362,8";"8,9"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"316,2";"7,2"
"09771";"Aichach-Friedberg";"Landkreis";"629,7";"3,8"
"09772";"Augsburg";"Landkreis";"498,5";"5,0"
"09773";"Dillingen a.d.Donau";"Landkreis";"670,5";"5,5"
"09774";"Günzburg";"Landkreis";"523,3";"4,1"
"09775";"Neu-Ulm";"Landkreis";"542,3";"5,8"
"09776";"Lindau (Bodensee)";"Landkreis";"586,7";"5,0"
"09777";"Ostallgäu";"Landkreis";"616,4";"3,8"
"09778";"Unterallgäu";"Landkreis";"678,7";"2,6"
"09779";"Donau-Ries";"Landkreis";"768,0";"2,7"
"09780";"Oberallgäu";"Landkreis";"732,1";"3,7"
"10041";"Regionalverband Saarbrücken";"Landkreis";"168,2";"28,8"
"10042";"Merzig-Wadern";"Landkreis";"141,3";"12,0"
"10043";"Neunkirchen";"Landkreis";"144,6";"23,1"
"10044";"Saarlouis";"Landkreis";"184,3";"15,3"
"10045";"Saarpfalz-Kreis";"Landkreis";"164,2";"15,0"
"10046";"St. Wendel";"Landkreis";"276,6";"11,0"
"11000";"Berlin, Stadt";"krsfr. Stadt";"0,0";"28,9"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"35,8";"25,7"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"113,8";"25,8"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"149,6";"28,1"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"41,1";"14,0"
"12060";"Barnim";"Landkreis";"279,1";"12,9"
"12061";"Dahme-Spreewald";"Landkreis";"367,1";"10,9"
"12062";"Elbe-Elster";"Landkreis";"299,1";"16,3"
"12063";"Havelland";"Landkreis";"323,9";"11,7"
"12064";"Märkisch-Oderland";"Landkreis";"269,2";"13,0"
"12065";"Oberhavel";"Landkreis";"300,6";"11,2"
"12066";"Oberspreewald-Lausitz";"Landkreis";"328,7";"20,0"
"12067";"Oder-Spree";"Landkreis";"341,2";"12,7"
"12068";"Ostprignitz-Ruppin";"Landkreis";"276,4";"16,3"
"12069";"Potsdam-Mittelmark";"Landkreis";"245,1";"6,8"
"12070";"Prignitz";"Landkreis";"279,7";"22,4"
"12071";"Spree-Neiße";"Landkreis";"209,4";"15,2"
"12072";"Teltow-Fläming";"Landkreis";"260,9";"12,0"
"12073";"Uckermark";"Landkreis";"224,3";"24,2"
"13003";"Rostock, Stadt";"krsfr. Stadt";"220,1";"23,1"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"251,8";"25,7"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"187,6";"20,5"
"13072";"Landkreis Rostock";"Landkreis";"247,7";"13,1"
"13073";"Vorpommern-Rügen";"Landkreis";"286,2";"19,1"
"13074";"Nordwestmecklenburg";"Landkreis";"307,5";"13,7"
"13075";"Vorpommern-Greifswald";"Landkreis";"233,8";"19,9"
"13076";"Ludwigslust-Parchim";"Landkreis";"239,3";"14,1"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"240,4";"18,9"
"14521";"Erzgebirgskreis";"Landkreis";"370,3";"9,5"
"14522";"Mittelsachsen";"Landkreis";"328,2";"10,3"
"14523";"Vogtlandkreis";"Landkreis";"307,6";"12,5"
"14524";"Zwickau";"Landkreis";"281,4";"12,7"
"14612";"Dresden, Stadt";"krsfr. Stadt";"347,4";"13,7"
"14625";"Bautzen";"Landkreis";"309,7";"10,9"
"14626";"Görlitz";"Landkreis";"376,1";"17,1"
"14627";"Meißen";"Landkreis";"315,0";"11,7"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"373,8";"11,5"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"230,1";"21,2"
"14729";"Leipzig";"Landkreis";"231,8";"11,8"
"14730";"Nordsachsen";"Landkreis";"246,4";"14,7"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"228,2";"25,0"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"197,2";"32,4"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"213,0";"25,9"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"216,6";"14,1"
"15082";"Anhalt-Bitterfeld";"Landkreis";"163,7";"21,1"
"15083";"Börde";"Landkreis";"229,8";"12,5"
"15084";"Burgenlandkreis";"Landkreis";"217,4";"19,6"
"15085";"Harz";"Landkreis";"161,8";"14,9"
"15086";"Jerichower Land";"Landkreis";"259,0";"15,9"
"15087";"Mansfeld-Südharz";"Landkreis";"175,7";"24,2"
"15088";"Saalekreis";"Landkreis";"255,7";"17,7"
"15089";"Salzlandkreis";"Landkreis";"216,3";"22,1"
"15090";"Stendal";"Landkreis";"348,8";"23,0"
"15091";"Wittenberg";"Landkreis";"280,0";"19,0"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"179,3";"20,8"
"16052";"Gera, Stadt";"krsfr. Stadt";"124,6";"25,7"
"16053";"Jena, Stadt";"krsfr. Stadt";"54,8";"12,9"
"16054";"Suhl, Stadt";"krsfr. Stadt";"170,3";"13,1"
"16055";"Weimar, Stadt";"krsfr. Stadt";"179,6";"16,5"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"214,6";"20,8"
"16061";"Eichsfeld";"Landkreis";"201,1";"7,6"
"16062";"Nordhausen";"Landkreis";"271,7";"19,3"
"16063";"Wartburgkreis";"Landkreis";"267,4";"8,1"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"263,1";"16,6"
"16065";"Kyffhäuserkreis";"Landkreis";"566,0";"18,1"
"16066";"Schmalkalden-Meiningen";"Landkreis";"146,2";"9,5"
"16067";"Gotha";"Landkreis";"436,2";"14,0"
"16068";"Sömmerda";"Landkreis";"521,6";"12,1"
"16069";"Hildburghausen";"Landkreis";"198,6";"7,7"
"16070";"Ilm-Kreis";"Landkreis";"433,0";"13,5"
"16071";"Weimarer Land";"Landkreis";"302,2";"11,2"
"16072";"Sonneberg";"Landkreis";"354,1";"10,3"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"276,5";"12,6"
"16074";"Saale-Holzland-Kreis";"Landkreis";"187,0";"9,2"
"16075";"Saale-Orla-Kreis";"Landkreis";"521,6";"11,8"
"16076";"Greiz";"Landkreis";"209,1";"11,3"
"16077";"Altenburger Land";"Landkreis";"483,8";"20,6"
